,Artist,Total Views,100M,Avg
252,Jonas Blue,"3,495.9",7.0,0.63
253,Yuridia,"3,482.0",7.0,4.55
254,Santa Fe Klan,"3,459.6",6.0,2.64
255,Arctic Monkeys,"3,433.4",6.0,1.03
256,Bruno e Marrone,"3,431.9",5.0,1.09
257,Violetta,"3,428.5",4.0,0.26
258,Young Thug,"3,425.0",8.0,0.93
259,John Legend,"3,419.4",4.0,0.52
260,Bebe Rexha,"3,400.2",5.0,0.55
261,Banda Los Recoditos,"3,399.6",11.0,0.59
262,Tiësto,"3,393.0",8.0,1.32
263,Melanie Martinez,"3,386.7",11.0,0.72
264,Christina Perri,"3,366.4",3.0,0.55
265,MC Livinho,"3,359.5",10.0,0.26
266,Ludmilla,"3,322.0",8.0,2.13
267,Meek Mill,"3,301.2",6.0,0.79
268,Little Big,"3,288.3",8.0,1.18
269,Marco Antonio Solís,"3,277.0",12.0,1.15
270,Pulcino Pio,"3,270.1",6.0,0.47
271,C-Kan,"3,269.3",7.0,0.71
272,Danny Ocean,"3,264.3",5.0,0.92
273,Seventeen,"3,260.1",3.0,2.31
274,Jhay Cortez,"3,259.3",3.0,1.12
275,Pharrell Williams,"3,258.5",6.0,0.58
276,Evanescence,"3,257.0",6.0,0.84
277,GOT7,"3,241.3",8.0,0.29
278,Green Day,"3,219.4",7.0,0.78
279,Cosculluela,"3,189.6",5.0,0.95
280,Alejandro Sanz,"3,183.5",5.0,0.68
281,Emiway Bantai,"3,168.8",7.0,0.97
282,Pedro Capó,"3,161.3",2.0,0.61
283,Zedd,"3,160.8",10.0,0.46
284,Stromae,"3,151.2",6.0,1.0
285,Lil Peep,"3,142.8",8.0,0.92
286,LP,"3,122.7",6.0,1.18
287,Vishal Dadlani,"3,122.2",9.0,0.72
288,Alicia Keys,"3,101.6",6.0,0.74
289,Luis Miguel,"3,089.7",8.0,1.24
290,Gucci Mane,"3,047.3",3.0,0.69
291,Abba,"3,045.9",7.0,1.32
292,Khea,"3,010.0",10.0,0.57
293,Gerardo Ortiz,"2,993.7",9.0,0.56
294,Ciara,"2,980.9",10.0,0.6
295,James Arthur,"2,980.5",4.0,0.86
296,Naiara Azevedo,"2,973.6",8.0,0.37
297,Gustavo Mioto,"2,969.6",7.0,1.3
298,Tribo da Periferia,"2,968.8",6.0,1.1
299,Armin van Buuren,"2,967.4",4.0,0.68
300,Río Roma,"2,956.2",8.0,0.77
301,Harrdy Sandhu,"2,945.2",7.0,0.67
302,Brytiago,"2,945.0",7.0,0.66
303,Alex Rose,"2,917.0",6.0,1.06
304,Red Velvet,"2,916.9",12.0,0.58
305,Jay Chou,"2,915.2",4.0,0.77
306,Paramore,"2,911.0",10.0,0.59
307,Camila,"2,903.8",9.0,0.54
308,French Montana,"2,902.3",3.0,0.62
309,Soolking,"2,899.9",7.0,1.2
310,The Beatles,"2,893.8",9.0,0.96
311,Aviões do Forró,"2,882.5",6.0,0.77
312,Bryant Myers,"2,878.9",10.0,1.25
313,Bee Gees,"2,854.4",6.0,1.33
314,Ne-Yo,"2,842.2",10.0,0.73
315,La Oreja de Van Gogh,"2,833.9",5.0,1.13
316,Calle 13,"2,830.0",9.0,0.53
317,Mac Miller,"2,813.7",5.0,0.68
318,Gente De Zona,"2,800.3",4.0,0.49
319,Dr. Dre,"2,799.2",5.0,0.94
320,Udit Narayan,"2,798.2",8.0,0.75
321,La Arrolladora Banda El Limón De René Camacho,"2,784.5",7.0,0.81
322,Five Finger Death Punch,"2,784.1",9.0,0.82
323,Greeicy,"2,775.4",8.0,0.84
324,Kratai Phannipha,"2,770.2",6.0,0.37
325,Aerosmith,"2,761.6",5.0,0.87
326,Zoé,"2,756.3",6.0,0.81
327,MAGIC!,"2,746.5",2.0,0.42
328,Soprano,"2,736.2",10.0,0.43
329,Zara Larsson,"2,729.6",4.0,0.3
330,Modern Talking,"2,723.0",7.0,1.1
331,La Trakalosa de Monterrey,"2,721.1",7.0,0.42
332,Aya Nakamura,"2,715.2",5.0,0.8
333,Gabriela Rocha,"2,703.2",4.0,0.96
334,Childish Gambino,"2,699.8",6.0,0.69
335,Labanoon,"2,698.7",6.0,0.28
336,L'Algérino,"2,694.4",8.0,0.29
337,Dilsinho,"2,687.0",4.0,0.68
338,Feid,"2,669.1",8.0,6.68
339,The Cranberries,"2,667.0",5.0,0.86
340,Son Tung M-TP,"2,660.6",11.0,0.61
341,Dimitri Vegas & Like Mike,"2,637.1",3.0,0.29
342,T.I.,"2,632.1",6.0,0.43
343,Ankush Raja,"2,625.1",6.0,1.23
344,Fetty Wap,"2,615.4",7.0,0.33
345,The Lonely Island,"2,603.5",9.0,0.17
346,A$AP Rocky,"2,599.5",4.0,0.7
347,Daft Punk,"2,587.0",5.0,0.73
348,MCs Zaac & Jerry,"2,585.8",8.0,0.23
349,Amr Diab,"2,584.4",3.0,0.41
350,will.i.am,"2,582.0",6.0,0.3
351,Jesús Adrián Romero,"2,577.0",7.0,0.87
352,Fall Out Boy,"2,572.4",6.0,0.42
353,Zé Felipe,"2,553.0",8.0,2.4
354,Robin Schulz,"2,552.6",6.0,0.58
355,Oasis,"2,538.5",7.0,0.6
356,Franco De Vita,"2,537.4",8.0,0.64
357,5 Seconds of Summer,"2,537.0",5.0,0.38
358,YNW Melly,"2,534.2",5.0,0.61
359,Swedish House Mafia,"2,525.6",5.0,0.46
360,Luke Combs,"2,522.2",6.0,1.08
361,Westlife,"2,515.0",6.0,0.84
362,Anne-Marie,"2,514.7",6.0,0.93
363,Ferrugem,"2,511.5",6.0,0.79
364,Jon Z,"2,505.3",5.0,0.97
365,Gloria Trevi,"2,501.3",5.0,0.64
366,Mustafa Ceceli,"2,495.0",7.0,0.7
367,Mamamoo,"2,494.4",4.0,0.62
368,Turma do Pagode,"2,482.8",6.0,0.65
369,Ava Max,"2,479.7",5.0,1.31
370,David Bisbal,"2,450.6",6.0,0.47
371,R. Kelly,"2,449.0",6.0,0.11
372,Felipe Araújo,"2,433.9",6.0,0.58
373,Jay Wheeler,"2,433.5",4.0,1.33
374,Tarkan,"2,430.8",4.0,0.68
375,The Pussycat Dolls,"2,429.5",8.0,0.7
376,Dhvani Bhanushali,"2,403.5",2.0,0.57
377,Polo G,"2,402.3",5.0,0.87
378,Foo Fighters,"2,397.0",6.0,0.53
379,Calum Scott,"2,396.7",4.0,0.7
380,Lukas Graham,"2,395.4",4.0,0.44
381,Trey Songz,"2,390.5",4.0,0.33
382,Miyagi,"2,384.7",4.0,1.49
383,Mau y Ricky,"2,375.8",3.0,0.8
384,Kelly Clarkson,"2,374.7",4.0,0.45
385,Selena,"2,362.7",7.0,0.97
386,Koray Avcı,"2,353.9",7.0,0.25
387,Gera MX,"2,349.8",3.0,1.06
388,Carla Morrison,"2,333.7",5.0,0.9
389,George Michael,"2,330.8",5.0,1.04
390,Sean Kingston,"2,327.0",4.0,0.72
391,Muse,"2,326.4",6.0,0.46
392,Luke Bryan,"2,321.2",7.0,0.35
393,Leningrad,"2,309.3",6.0,0.33
394,Super Junior,"2,295.4",7.0,0.37
395,De La Ghetto,"2,271.5",3.0,0.47
396,YG,"2,265.6",6.0,0.36
397,Roddy Ricch,"2,262.9",6.0,0.66
398,Avenged Sevenfold,"2,262.8",7.0,0.56
399,Carly Rae Jepsen,"2,255.9",2.0,0.31
400,Elton John,"2,250.2",6.0,1.4
401,iKON,"2,247.1",3.0,0.32
402,Alka Yagnik,"2,241.6",6.0,0.7
403,J. Cole,"2,241.4",6.0,0.78
404,Snoop Dogg,"2,233.7",7.0,0.54
405,Rita Ora,"2,229.9",4.0,0.29
406,Disturbed,"2,216.7",3.0,0.64
407,Desiigner,"2,215.5",4.0,0.27
408,Tones and I,"2,212.6",1.0,0.48
409,Gotye,"2,205.0",1.0,0.6
410,Zé Vaqueiro,"2,203.1",7.0,0.99
411,a-ha,"2,202.9",1.0,0.75
412,Diego & Victor Hugo,"2,200.2",7.0,0.64
413,A Boogie wit da Hoodie,"2,191.1",3.0,0.67
414,Logic,"2,184.2",3.0,0.19
415,Juanes,"2,177.1",8.0,0.56
416,Projota,"2,175.8",5.0,0.27
417,Kendji Girac,"2,175.6",8.0,0.47
418,2NE1,"2,166.1",2.0,0.24
419,Piccolo Coro dell'Antoniano,"2,154.6",3.0,0.68
420,Lunay,"2,144.2",6.0,0.45
421,Lil Dicky,"2,138.0",4.0,0.26
422,Rod Stewart,"2,136.7",4.0,1.11
423,Rag'n'Bone Man,"2,131.8",2.0,0.68
424,U2,"2,130.8",5.0,0.71
425,Megan Thee Stallion,"2,129.4",8.0,0.6
426,Hassan Shakosh,"2,121.7",5.0,0.35
427,Tove Lo,"2,116.0",3.0,0.47
428,K-ICM,"2,115.8",5.0,0.15
429,MC Pedrinho,"2,114.4",7.0,0.21
430,Sorriso Maroto,"2,095.7",4.0,0.64
431,The Script,"2,091.4",5.0,0.36
432,Danna Paola,"2,090.3",4.0,0.58
433,Mike Posner,"2,080.0",2.0,0.33
434,Ke$ha,"2,078.3",6.0,0.24
435,Silentó,"2,059.3",1.0,0.13
436,MC Fioti,"2,058.8",1.0,0.22
437,Himesh Reshammiya,"2,052.2",3.0,1.31
438,Amy Winehouse,"2,049.1",4.0,0.68
439,MC Kekel,"2,048.2",6.0,0.1
440,ITZY,"2,035.1",7.0,1.01
441,Tory Lanez,"2,033.1",2.0,0.55
442,Shreya Ghoshal,"2,032.5",5.0,0.67
443,Michel Teló,"2,028.0",2.0,0.26
444,Kane Brown,"2,027.9",3.0,0.57
445,Capital Bra,"2,015.6",2.0,0.29
446,Tierry,"2,015.5",3.0,0.85
447,Zack Knight,"2,014.3",3.0,0.54
448,Andrea Bocelli,"2,013.5",4.0,0.69
449,Nelly Furtado,"2,011.5",4.0,0.66
450,Pabllo Vittar,"1,999.1",5.0,0.25
451,Andra,"1,998.5",4.0,0.2
452,MC Davo,"1,996.0",5.0,0.57
453,Olivia Rodrigo,"1,995.7",5.0,0.97
454,Joey Montana,"1,989.9",2.0,0.17
455,Lorde,"1,989.8",4.0,0.2
456,Eduardo Costa,"1,985.2",4.0,0.54
457,AKB48,"1,984.4",2.0,0.2
458,Skillet,"1,983.4",4.0,0.55
459,Indila,"1,982.0",4.0,0.88
460,Darshan Raval,"1,973.4",4.0,0.54
461,Lucas Lucco,"1,972.6",7.0,0.39
462,YOUNGOHM,"1,969.0",7.0,0.77
463,The Killers,"1,962.1",6.0,0.39
464,blink-182,"1,962.0",5.0,0.45
465,Big Sean,"1,959.9",5.0,0.16
466,Lartiste,"1,954.5",3.0,0.26
467,Cocktail,"1,947.4",7.0,0.38
468,JoJo Siwa,"1,941.6",4.0,0.21
469,Jason Mraz,"1,934.7",5.0,0.34
470,Jessi Uribe,"1,932.0",5.0,1.0
471,Kid Ink,"1,930.9",3.0,0.21
472,Cyndi Lauper,"1,930.7",3.0,0.54
473,Timati,"1,928.6",2.0,0.54
474,Hala Al Turk,"1,923.4",6.0,0.24
475,Laura Pausini,"1,922.2",2.0,0.41
476,Shania Twain,"1,919.2",6.0,0.69
477,Luciano Pereyra,"1,912.0",3.0,0.57
478,Michael Bublé,"1,909.6",5.0,0.32
479,Timbaland,"1,904.9",6.0,0.7
480,Fergie,"1,899.0",6.0,0.4
481,Juan Magan,"1,898.2",5.0,0.24
482,Mohamed Alsalim,"1,897.8",3.0,0.54
483,Banda El Recodo De Cruz Lizárraga,"1,895.6",5.0,0.38
484,Natalia Lafourcade,"1,893.9",5.0,0.79
485,Depeche Mode,"1,890.8",4.0,0.63
486,Balti,"1,890.4",3.0,0.65
487,Imran Khan,"1,888.6",4.0,0.89
488,Alvaro Soler,"1,886.6",4.0,0.31
489,Lewis Capaldi,"1,880.3",4.0,1.0
490,Sabyan,"1,878.8",6.0,0.15
491,Alemán,"1,875.1",3.0,1.05
492,Sin Bandera,"1,866.7",6.0,0.5
493,B Praak,"1,863.1",3.0,0.23
494,Remmy Valenzuela,"1,862.4",6.0,0.44
